ClassNav course extraction
Timestamp: 2025-03-25 17:45:14
====================================================================================================
CRN | Subject | Course | Section | Title | Instructor | Dates
39014 | AFAM | 4443 | 001 | AFAM Mental Health | Long, Devale | Oct 20 - Dec 12
47950 | AFAM | 4813 | 001 | Prison Industrial Complex | Thibodeaux, Jermaine | Aug 25 - Dec 12
50944 | AFAM | 4970 | 001 | The Black Power Movement | Benjamin, Andrea | Aug 25 - Dec 12
37872 | AFAM | 4990 | 002 | Independent Study | Hill, Karlos | Aug 25 - Dec 19
33933 | AFAM | 4990 | 003 | Independent Study | Graham, Greg | Aug 25 - Dec 19
42751 | AFAM | 4990 | 006 | Independent Study | Coleman, Sharri | Aug 25 - Dec 19
38090 | AME | 2113 | 002 | Statics | Baldwin, James | Aug 25 - Dec 12
10935 | AME | 2113 | 003 | Statics | Haldavnekar, Rupa | Aug 25 - Dec 12
10936 | AME | 2113 | 004 | Statics | Dai, Chenkai | Aug 25 - Dec 12
10937 | AME | 2213 | 001 | Thermodynamics | TBA | Aug 25 - Dec 12
10938 | AME | 2213 | 002 | Thermodynamics | Haldavnekar, Rupa | Aug 25 - Dec 12
34903 | AME | 2213 | 003 | Thermodynamics | Dalton, Christopher | Aug 25 - Dec 12
10939 | AME | 2223 | 001 | Intro to Aerospace Engineering | Bashetty, Srikanth | Aug 25 - Dec 12
32522 | AME | 2402 | 001 | Engineering Computing | Bashetty, Srikanth | Aug 25 - Dec 12
51050 | AME | 2402 | 002 | Engineering Computing | Xu, Bin | Aug 25 - Dec 12
10943 | AME | 3112 | 010 | Solid Mechanics Lab | Baldwin, James | Aug 25 - Dec 12
10944 | AME | 3112 | 011 | Lab-AME 3112-010 | Baldwin, James | Aug 25 - Dec 12
10945 | AME | 3112 | 012 | Lab-AME 3112-010 | Baldwin, James | Aug 25 - Dec 12
10947 | AME | 3112 | 013 | Lab-AME 3112-010 | Baldwin, James | Aug 25 - Dec 12
34746 | AME | 3112 | 015 | Lab-AME 3112-010 | Baldwin, James | Aug 25 - Dec 12
36006 | AME | 3112 | 016 | Lab-AME 3112-010 | Baldwin, James | Aug 25 - Dec 12
10949 | AME | 3143 | 001 | Solid Mechanics | Jiang, Yijie | Aug 25 - Dec 12
36039 | AME | 3143 | 002 | Solid Mechanics | TBA | Aug 25 - Dec 12
10971 | AME | 3143 | 003 | Solid Mechanics | Dai, Jingyao | Aug 25 - Dec 12
42319 | AME | 3153 | 001 | Fluid Mechanics | Shabgard, Hamidreza | Aug 25 - Dec 12
10973 | AME | 3153 | 002 | Fluid Mechanics | Kazempoor, Pejman | Aug 25 - Dec 12
10974 | AME | 3253 | 001 | Aerodynamics | Vedula, Prakash | Aug 25 - Dec 12
10975 | AME | 3272 | 010 | Windtunnel Laboratory | TBA | Aug 25 - Dec 12
10976 | AME | 3272 | 011 | Lab-AME 3272-010 | TBA | Aug 25 - Dec 12
10977 | AME | 3272 | 012 | Lab-AME 3272-010 | TBA | Aug 25 - Dec 12
